file,notes,barlines
deut4370.krn,77,25
deut4364.krn,52,18
deut4358.krn,49,24
deut4372.krn,52,16
deut4366.krn,68,21
deut4158.krn,73,18
deut4170.krn,50,16
deut4164.krn,63,18
deut4206.krn,72,29
deut4212.krn,66,24
deut4213.krn,35,10
deut4207.krn,40,10
deut4165.krn,27,11
deut4171.krn,85,46
deut4159.krn,26,12
deut4367.krn,45,15
deut4373.krn,52,16
deut4377.krn,70,26
deut4363.krn,24,9
deut4388.krn,38,20
deut4175.krn,78,23
deut4161.krn,58,17
deut4149.krn,57,18
deut4203.krn,40,8
deut4217.krn,22,6
deut4216.krn,24,6
deut4202.krn,259,85
deut4148.krn,70,19
deut4160.krn,48,15
deut4174.krn,55,24
deut4389.krn,37,13
deut4362.krn,81,36
deut4376.krn,64,24
deut4360.krn,78,20
deut4374.krn,53,16
deut4348.krn,56,12
deut4162.krn,52,16
deut4176.krn,61,18
deut4189.krn,52,23
deut4214.krn,32,15
deut4200.krn,32,8
deut4228.krn,65,18
deut4229.krn,47,13
deut4201.krn,41,13
deut4215.krn,19,5
deut4188.krn,48,14
deut4177.krn,54,24
deut4163.krn,71,27
deut4349.krn,61,14
deut4375.krn,72,25
deut4361.krn,56,21
deut4378.krn,50,18
deut4344.krn,62,29
deut4350.krn,56,14
deut4387.krn,38,20
deut4393.krn,42,10
deut4146.krn,72,22
deut4152.krn,50,14
deut4185.krn,56,19
deut4191.krn,31,8
deut4218.krn,31,14
deut4230.krn,45,16
deut4224.krn,22,7
deut4225.krn,36,9
deut4231.krn,46,11
deut4219.krn,37,8
deut4190.krn,57,14
deut4184.krn,39,10
deut4153.krn,51,13
deut4147.krn,69,33
deut4392.krn,54,16
deut4386.krn,39,12
deut4351.krn,53,18
deut4345.krn,35,9
deut4379.krn,99,30
deut4353.krn,49,14
deut4347.krn,45,12
deut4390.krn,54,16
deut4384.krn,40,9
deut4179.krn,65,19
deut4151.krn,39,16
deut4145.krn,75,21
deut4192.krn,30,9
deut4186.krn,49,14
deut4227.krn,67,20
deut4233.krn,33,8
deut4232.krn,31,12
deut4226.krn,98,4
deut4187.krn,52,16
deut4193.krn,13,4
deut4144.krn,48,15
deut4150.krn,48,17
deut4178.krn,72,38
deut4385.krn,34,9
deut4391.krn,54,16
deut4346.krn,36,9
deut4352.krn,56,14
deut4356.krn,78,26
deut4342.krn,26,12
deut4395.krn,55,17
deut4381.krn,61,22
deut4154.krn,66,20
deut4140.krn,48,14
deut4168.krn,39,12
deut4197.krn,34,10
deut4183.krn,30,7
deut4222.krn,22,6
deut4236.krn,83,24
deut4237.krn,53,20
deut4223.krn,32,9
deut4182.krn,32,12
deut4196.krn,27,8
deut4169.krn,42,13
deut4141.krn,28,8
deut4155.krn,24,7
deut4380.krn,103,29
deut4394.krn,26,8
deut4343.krn,36,14
deut4357.krn,69,31
deut4341.krn,26,16
deut4355.krn,58,16
deut4369.krn,56,17
deut4382.krn,62,32
deut4396.krn,55,18
deut4143.krn,49,12
deut4157.krn,28,9
deut4180.krn,52,18
deut4194.krn,23,2
deut4235.krn,34,8
deut4221.krn,28,9
deut4209.krn,10,3
deut4208.krn,27,8
deut4220.krn,25,8
deut4234.krn,48,12
deut4195.krn,28,10
deut4181.krn,60,20
deut4156.krn,59,20
deut4142.krn,80,24
deut4397.krn,19,4
deut4383.krn,34,9
deut4368.krn,39,16
deut4354.krn,58,14
deut4340.krn,35,8
deut4327.krn,38,8
deut4333.krn,39,10
deut4119.krn,58,19
deut4125.krn,64,16
deut4131.krn,52,19
deut4092.krn,60,14
deut4086.krn,52,15
deut4253.krn,28,15
deut4247.krn,37,10
deut4290.krn,36,16
deut4284.krn,32,15
deut4285.krn,35,16
deut4291.krn,26,12
deut4246.krn,54,22
deut4252.krn,42,10
deut4087.krn,63,20
deut4093.krn,80,21
deut4130.krn,64,22
deut4124.krn,84,39
deut4118.krn,52,16
deut4332.krn,40,10
deut4326.krn,34,10
deut4318.krn,40,8
deut4330.krn,38,10
deut4324.krn,64,18
deut4132.krn,28,8
deut4126.krn,57,18
deut4085.krn,29,12
deut4091.krn,59,18
deut4278.krn,33,9
deut4244.krn,56,16
deut4250.krn,44,11
deut4287.krn,67,17
deut4293.krn,49,20
deut4292.krn,29,12
deut4286.krn,42,19
deut4251.krn,42,10
deut4245.krn,50,12
deut4279.krn,39,11
deut4090.krn,59,23
deut4084.krn,31,12
deut4127.krn,59,16
deut4133.krn,47,11
deut4325.krn,48,14
deut4331.krn,42,10
deut4319.krn,92,31
deut4335.krn,46,12
deut4321.krn,29,9
deut4309.krn,33,9
deut4137.krn,62,18
deut4123.krn,59,18
deut4094.krn,44,12
deut4241.krn,41,18
deut4255.krn,20,8
deut4269.krn,47,20
deut4282.krn,40,13
deut4296.krn,75,42
deut4297.krn,39,19
deut4283.krn,31,15
deut4268.krn,43,12
deut4254.krn,48,24
deut4240.krn,51,24
deut4095.krn,49,12
deut4122.krn,93,26
deut4136.krn,52,14
deut4308.krn,37,10
deut4320.krn,58,18
deut4334.krn,38,13
deut4322.krn,31,12
deut4336.krn,55,11
deut4120.krn,55,17
deut4134.krn,56,24
deut4108.krn,48,14
deut4097.krn,42,19
deut4083.krn,33,8
deut4256.krn,51,16
deut4242.krn,53,13
deut4295.krn,45,14
deut4281.krn,43,11
deut4280.krn,42,11
deut4294.krn,35,10
deut4243.krn,44,14
deut4257.krn,57,19
deut4082.krn,32,8
deut4096.krn,40,11
deut4109.krn,46,13
deut4135.krn,59,18
deut4121.krn,58,16
deut4337.krn,28,9
deut4323.krn,48,20
deut1242.krn,42,10
deut1524.krn,27,12
deut1530.krn,48,24
deut1256.krn,56,12
deut1518.krn,40,18
deut0606.krn,27,7
deut0612.krn,41,12
deut1281.krn,67,16
deut0821.krn,54,17
deut0835.krn,35,10
deut1295.krn,31,8
deut0809.krn,47,12
deut1040.krn,56,16
deut1054.krn,51,22
deut1068.krn,44,12
deut1083.krn,28,8
deut1097.krn,70,12
deut1134.krn,61,16
deut1120.krn,32,8
deut0570.krn,37,8
deut1108.krn,37,12
deut1336.krn,32,12
deut0996.krn,61,16
deut1450.krn,68,24
deut0982.krn,52,17
deut1444.krn,28,8
deut1322.krn,76,32
deut0772.krn,26,6
deut0766.krn,33,8
deut1478.krn,22,6
deut0955.krn,48,14
deut1493.krn,76,16
deut0941.krn,60,16
deut1487.krn,52,16
deut0799.krn,42,8
deut0969.krn,56,12
deut0968.krn,35,8
deut0798.krn,43,14
deut1486.krn,81,24
deut0940.krn,60,16
deut1492.krn,72,12
deut0954.krn,37,13
deut1479.krn,37,8
deut0767.krn,24,5
deut0773.krn,44,8
deut1445.krn,69,31
deut0983.krn,51,17
deut1323.krn,62,24
deut1337.krn,32,8
deut1451.krn,63,20
deut0997.krn,52,16
deut0571.krn,34,10
deut1109.krn,82,20
deut1121.krn,49,12
deut1135.krn,44,16
deut1096.krn,31,6
deut1082.krn,44,12
deut1069.krn,40,12
deut1055.krn,32,16
deut1041.krn,56,16
deut0808.krn,39,10
deut0834.krn,51,14
deut1294.krn,36,8
deut1280.krn,28,6
deut0820.krn,57,14
deut0613.krn,34,8
deut0607.krn,52,14
deut1519.krn,31,14
deut1531.krn,54,11
deut1257.krn,36,8
deut1243.krn,34,8
deut1525.krn,32,16
deut1255.krn,22,8
deut1533.krn,30,6
deut1527.krn,16,4
deut0639.krn,48,10
deut1241.krn,25,8
deut1269.krn,71,16
deut0611.krn,43,12
deut0605.krn,33,8
deut1296.krn,35,8
deut0836.krn,65,16
deut0822.krn,55,16
deut1282.krn,24,8
deut1057.krn,30,9
deut1043.krn,49,28
deut1094.krn,60,12
deut1080.krn,65,20
deut1123.krn,35,8
deut1137.krn,31,8
deut0567.krn,49,14
deut0573.krn,33,8
deut0598.krn,43,13
deut1321.krn,37,8
deut0759.krn,38,8
deut0981.krn,87,18
deut1447.krn,57,12
deut0995.krn,69,16
deut1453.krn,26,8
deut1335.krn,66,16
deut0765.krn,30,8
deut0771.krn,25,6
deut1309.krn,48,12
deut0942.krn,42,12
deut1484.krn,42,10
deut0956.krn,66,16
deut1490.krn,33,10
deut1491.krn,31,8
deut0957.krn,61,12
deut1485.krn,94,24
deut0943.krn,51,16
deut0770.krn,36,8
deut1308.krn,66,12
deut0764.krn,70,24
deut1452.krn,38,11
deut0994.krn,36,12
deut1334.krn,29,6
deut1320.krn,30,8
deut1446.krn,52,12
deut0980.krn,59,12
deut0758.krn,64,12
deut0599.krn,43,9
deut0572.krn,59,12
deut1136.krn,64,16
deut1122.krn,52,12
deut1081.krn,100,18
deut1095.krn,62,12
deut1042.krn,43,12
deut1056.krn,30,8
deut0823.krn,33,10
deut1283.krn,40,10
deut1297.krn,34,8
deut0837.krn,37,9
deut0604.krn,40,10
deut1268.krn,74,21
deut0610.krn,41,12
deut0638.krn,39,8
deut1526.krn,19,5
deut1240.krn,35,8
deut1254.krn,38,8
deut1532.krn,46,16
deut0614.krn,42,8
deut1278.krn,28,8
deut0600.krn,48,9
deut1536.krn,42,9
deut0628.krn,22,7
deut1250.krn,40,18
deut1244.krn,61,12
deut1522.krn,38,10
deut0833.krn,35,16
deut1293.krn,61,12
deut1287.krn,46,12
deut0827.krn,106,24
deut1052.krn,47,13
deut1046.krn,43,12
deut1091.krn,49,12
deut1085.krn,36,8
deut0576.krn,39,8
deut1126.krn,56,12
deut1132.krn,48,12
deut0589.krn,38,12
deut0760.krn,68,12
deut1318.krn,33,12
deut0774.krn,36,8
deut1442.krn,46,16
deut0984.krn,64,20
deut1324.krn,42,10
deut1330.krn,55,12
deut0748.krn,26,8
deut1456.krn,45,13
deut0990.krn,56,12
deut1481.krn,37,12
deut0947.krn,96,33
deut1495.krn,87,26
deut0953.krn,61,12
deut0952.krn,75,16
deut1494.krn,38,17
deut0946.krn,69,8
deut1480.krn,29,8
deut1331.krn,35,8
deut0991.krn,51,12
deut1457.krn,21,8
deut0749.krn,34,10
deut0985.krn,66,16
deut1443.krn,53,16
deut1325.krn,40,10
deut0775.krn,36,8
deut0761.krn,40,13
deut1319.krn,36,8
deut0588.krn,60,19
deut1133.krn,39,14
deut1127.krn,65,12
deut0577.krn,46,10
deut1084.krn,48,12
deut1090.krn,55,12
deut1047.krn,64,16
deut1053.krn,56,24
deut1286.krn,64,16
deut0826.krn,48,13
deut0832.krn,45,12
deut1292.krn,76,16
deut1245.krn,53,16
deut1523.krn,22,7
deut0629.krn,25,8
deut1537.krn,32,10
deut1251.krn,29,8
deut1279.krn,27,6
deut0601.krn,54,12
deut0615.krn,39,8
deut0603.krn,41,10
deut1509.krn,62,16
deut0617.krn,32,6
deut1521.krn,56,17
deut1247.krn,60,16
deut1253.krn,48,14
deut1535.krn,57,12
deut0818.krn,20,5
deut0824.krn,32,11
deut1284.krn,49,16
deut1290.krn,98,18
deut0830.krn,56,16
deut1079.krn,70,17
deut1045.krn,41,13
deut1051.krn,70,16
deut1086.krn,47,12
deut1092.krn,52,8
deut0575.krn,56,12
deut1119.krn,32,8
deut1131.krn,58,12
deut1125.krn,35,8
deut0777.krn,53,12
deut1469.krn,46,13
deut0763.krn,18,8
deut1455.krn,61,20
deut0993.krn,60,20
deut1333.krn,30,8
deut1327.krn,34,8
deut1441.krn,50,12
deut0987.krn,49,12
deut0978.krn,57,12
deut1496.krn,35,10
deut0950.krn,36,8
deut0788.krn,48,12
deut1482.krn,37,8
deut0944.krn,51,13
deut0945.krn,50,13
deut1483.krn,30,6
deut0789.krn,34,8
deut0951.krn,47,16
deut1497.krn,48,28
deut0979.krn,61,12
deut1326.krn,44,10
deut0986.krn,47,12
deut1440.krn,41,11
deut0992.krn,88,18
deut1454.krn,40,12
deut1332.krn,45,12
deut0762.krn,29,6
deut1468.krn,72,16
deut0776.krn,35,8
deut1124.krn,54,16
deut1130.krn,61,14
deut1118.krn,31,8
deut0574.krn,42,8
deut1093.krn,60,12
deut1087.krn,56,16
deut1050.krn,65,38
deut1044.krn,22,6
deut1078.krn,52,12
deut1291.krn,76,16
deut0831.krn,45,12
deut0825.krn,41,10
deut1285.krn,47,14
deut0819.krn,42,10
deut1252.krn,70,16
deut1534.krn,47,19
deut1520.krn,33,9
deut1246.krn,58,16
deut0616.krn,25,6
deut1508.krn,56,14
deut0602.krn,56,16
deut1547.krn,44,16
deut0881.krn,32,11
deut0659.krn,44,12
deut1221.krn,46,12
deut1235.krn,34,10
deut1553.krn,28,8
deut0895.krn,25,8
deut0665.krn,24,6
deut1209.krn,47,24
deut0671.krn,35,8
deut1584.krn,22,8
deut0842.krn,33,8
deut1590.krn,84,24
deut0856.krn,30,8
deut1023.krn,60,16
deut1037.krn,33,10
deut1157.krn,58,12
deut1625.krn,43,16
deut1143.krn,43,8
deut1619.krn,33,8
deut1194.krn,74,20
deut1180.krn,50,8
deut1433.krn,33,10
deut1355.krn,53,12
deut1341.krn,40,11
deut0739.krn,50,16
deut1427.krn,37,8
deut0711.krn,39,8
deut1369.krn,43,12
deut0705.krn,142,35
deut0936.krn,30,6
deut1396.krn,34,12
deut1382.krn,35,15
deut0922.krn,43,10
deut1383.krn,29,15
deut0923.krn,53,16
deut0937.krn,26,8
deut1397.krn,33,8
deut0704.krn,127,30
deut0710.krn,46,10
deut1368.krn,36,9
deut1340.krn,37,8
deut1426.krn,38,10
deut0738.krn,50,16
deut1432.krn,39,8
deut1354.krn,48,12
deut1181.krn,66,16
deut1195.krn,37,12
deut1618.krn,32,8
deut1624.krn,56,12
deut1142.krn,45,16
deut1156.krn,36,8
deut1036.krn,28,8
deut1022.krn,77,35
deut0857.krn,50,12
deut1591.krn,98,24
deut0843.krn,57,16
deut1585.krn,66,16
deut1208.krn,29,8
deut0670.krn,43,17
deut0664.krn,22,8
deut1234.krn,66,18
deut0894.krn,39,8
deut1552.krn,52,16
deut0658.krn,25,8
deut0880.krn,34,12
deut1546.krn,33,12
deut1220.krn,41,12
deut1550.krn,47,16
deut0896.krn,26,8
deut1236.krn,51,16
deut1222.krn,38,10
deut1544.krn,33,10
deut0882.krn,34,6
deut0672.krn,19,8
deut1578.krn,25,8
deut0666.krn,23,6
deut1593.krn,85,24
deut0855.krn,30,8
deut0699.krn,41,10
deut1587.krn,42,12
deut0841.krn,29,8
deut0869.krn,26,9
deut1034.krn,34,9
deut1020.krn,46,12
deut1008.krn,44,10
deut1140.krn,52,10
deut1626.krn,41,8
deut1154.krn,35,8
deut1168.krn,31,8
deut1183.krn,62,22
deut1197.krn,39,8
deut1424.krn,31,10
deut1342.krn,35,8
deut1356.krn,55,12
deut1430.krn,43,8
deut0706.krn,113,30
deut1418.krn,90,18
deut0712.krn,38,8
deut0921.krn,26,8
deut1381.krn,29,9
deut1395.krn,64,16
deut0935.krn,27,6
deut0909.krn,30,8
deut0908.krn,41,12
deut1394.krn,62,16
deut0934.krn,45,16
deut0920.krn,52,15
deut1380.krn,65,18
deut0713.krn,49,10
deut1419.krn,47,12
deut0707.krn,41,11
deut1357.krn,42,8
deut1431.krn,60,12
deut1425.krn,36,10
deut1343.krn,27,6
deut1196.krn,37,12
deut1182.krn,80,16
deut1169.krn,24,8
deut1155.krn,36,8
deut1141.krn,85,16
deut1627.krn,31,10
deut1009.krn,41,9
deut1021.krn,39,10
deut1035.krn,47,24
deut0868.krn,45,8
deut0840.krn,34,8
deut1586.krn,45,12
deut0698.krn,49,12
deut0854.krn,32,8
deut1592.krn,33,12
deut0667.krn,28,6
deut1579.krn,52,16
deut0673.krn,33,16
deut1223.krn,46,8
deut0883.krn,24,4
deut1545.krn,47,14
deut0897.krn,28,8
deut1551.krn,31,10
deut1237.krn,27,12
deut1569.krn,32,12
deut0677.krn,39,8
deut0663.krn,35,12
deut1233.krn,73,16
deut0893.krn,66,12
deut1555.krn,33,10
deut0887.krn,32,8
deut1541.krn,77,27
deut1227.krn,35,8
deut0878.krn,42,12
deut0688.krn,52,14
deut0850.krn,62,20
deut1596.krn,26,8
deut0844.krn,80,18
deut1582.krn,26,8
deut1019.krn,35,8
deut1031.krn,37,10
deut1025.krn,36,10
deut1179.krn,49,10
deut1623.krn,27,13
deut1145.krn,47,12
deut1151.krn,40,8
deut1186.krn,46,10
deut1192.krn,51,16
deut0703.krn,34,12
deut0717.krn,43,10
deut1409.krn,72,16
deut1347.krn,39,8
deut1421.krn,76,20
deut1435.krn,36,8
deut1353.krn,44,12
deut0918.krn,39,12
deut1384.krn,45,12
deut0924.krn,39,9
deut0930.krn,30,7
deut1390.krn,42,12
deut0931.krn,34,8
deut1391.krn,49,12
deut1385.krn,52,12
deut0925.krn,37,8
deut0919.krn,31,8
deut1434.krn,36,10
deut1352.krn,46,12
deut1346.krn,37,8
deut1420.krn,48,16
deut1408.krn,29,8
deut0716.krn,27,8
deut0702.krn,42,12
deut1193.krn,42,16
deut1187.krn,37,12
deut1150.krn,32,8
deut1622.krn,72,24
deut1144.krn,53,12
deut1178.krn,26,8
deut1024.krn,52,14
deut1030.krn,30,8
deut1018.krn,36,8
deut1583.krn,36,14
deut0845.krn,30,8
deut1597.krn,58,16
deut0851.krn,65,16
deut0689.krn,40,12
deut0879.krn,24,6
deut1540.krn,51,16
deut0886.krn,54,21
deut1226.krn,36,8
deut1232.krn,75,28
deut1554.krn,50,14
deut0892.krn,57,14
deut0662.krn,34,8
deut0676.krn,37,8
deut1568.krn,32,12
deut1218.krn,33,8
deut0660.krn,43,12
deut0674.krn,36,8
deut1224.krn,41,8
deut0884.krn,23,8
deut1542.krn,28,8
deut0890.krn,49,14
deut1556.krn,56,16
deut0648.krn,32,8
deut1230.krn,55,16
deut0847.krn,50,20
deut1581.krn,76,20
deut0853.krn,31,8
deut1595.krn,23,8
deut1026.krn,37,10
deut1032.krn,43,16
deut1608.krn,60,16
deut1152.krn,48,12
deut1146.krn,52,12
deut1620.krn,70,24
deut1191.krn,47,16
deut1185.krn,39,8
deut0714.krn,53,10
deut0700.krn,46,10
deut1378.krn,56,10
deut1350.krn,28,8
deut0728.krn,37,8
deut1436.krn,26,6
deut1422.krn,44,11
deut1344.krn,52,8
deut1393.krn,37,9
deut0933.krn,50,12
deut0927.krn,40,13
deut1387.krn,48,12
deut0926.krn,47,12
deut1386.krn,45,12
deut1392.krn,45,10
deut0932.krn,32,8
deut1423.krn,51,11
deut1345.krn,41,8
deut1351.krn,51,12
deut1437.krn,28,8
deut0729.krn,39,8
deut0701.krn,39,10
deut1379.krn,56,16
deut0715.krn,50,12
deut1184.krn,65,12
deut1190.krn,50,16
deut1147.krn,47,10
deut1621.krn,66,24
deut1153.krn,48,10
deut1609.krn,47,16
deut1033.krn,31,8
deut1027.krn,37,10
deut1594.krn,25,8
deut0852.krn,60,16
deut1580.krn,120,32
deut0846.krn,30,8
deut0649.krn,25,6
deut1557.krn,29,8
deut0891.krn,59,16
deut1231.krn,51,14
deut1225.krn,50,12
deut1543.krn,35,10
deut0885.krn,34,12
deut0675.krn,35,8
deut1219.krn,37,10
deut0661.krn,43,12
deut1566.krn,50,18
deut0678.krn,34,8
deut1200.krn,44,8
deut1214.krn,50,20
deut1572.krn,36,8
deut0644.krn,61,12
deut1228.krn,53,16
deut0888.krn,48,19
deut0650.krn,27,6
deut0863.krn,48,12
deut0877.krn,26,6
deut0687.krn,39,16
deut1599.krn,34,12
deut0693.krn,48,12
deut1002.krn,55,16
deut1016.krn,38,8
deut1176.krn,25,10
deut1610.krn,62,16
deut1604.krn,37,8
deut1162.krn,60,12
deut1189.krn,38,13
deut1412.krn,61,16
deut1374.krn,34,6
deut1360.krn,48,19
deut0718.krn,50,12
deut1406.krn,47,16
deut0730.krn,52,12
deut1348.krn,51,12
deut0724.krn,34,10
deut0917.krn,32,8
deut0903.krn,35,8
deut0902.krn,36,8
deut0916.krn,54,16
deut0725.krn,35,10
deut0731.krn,36,8
deut1349.krn,28,9
deut1361.krn,40,12
deut1407.krn,23,8
deut0719.krn,31,9
deut1413.krn,30,8
deut1375.krn,27,5
deut1188.krn,75,16
deut1605.krn,31,8
deut1163.krn,101,24
deut1177.krn,38,20
deut1611.krn,52,16
deut1017.krn,40,8
deut1003.krn,49,10
deut0692.krn,38,8
deut1598.krn,40,16
deut0686.krn,44,10
deut0876.krn,43,13
deut0862.krn,48,12
deut1229.krn,53,16
deut0651.krn,24,6
deut0889.krn,26,8
deut0645.krn,23,6
deut1215.krn,26,8
deut1573.krn,36,16
deut0679.krn,33,8
deut1567.krn,33,12
deut1201.krn,71,16
deut1571.krn,78,24
deut1217.krn,35,8
deut1203.krn,49,12
deut1565.krn,90,30
deut0653.krn,28,10
deut1559.krn,24,8
deut0647.krn,31,8
deut0874.krn,34,12
deut0860.krn,70,16
deut0690.krn,41,10
deut0848.krn,42,12
deut0684.krn,43,15
deut1015.krn,38,8
deut1001.krn,40,12
deut1029.krn,57,17
deut1161.krn,61,12
deut1607.krn,48,12
deut1613.krn,49,16
deut1175.krn,50,16
deut1149.krn,43,8
deut1405.krn,75,16
deut1363.krn,62,22
deut1377.krn,50,10
deut1411.krn,58,16
deut0727.krn,21,4
deut1439.krn,22,8
deut0733.krn,39,8
deut0900.krn,47,10
deut0914.krn,25,8
deut1388.krn,36,8
deut0928.krn,34,11
deut1389.krn,33,8
deut0929.krn,51,13
deut0915.krn,31,9
deut0901.krn,30,10
deut0732.krn,36,8
deut1438.krn,26,8
deut0726.krn,39,7
deut1376.krn,24,5
deut1410.krn,48,12
deut1404.krn,86,19
deut1362.krn,47,18
deut1148.krn,47,10
deut1612.krn,52,18
deut1174.krn,37,14
deut1160.krn,36,8
deut1606.krn,29,8
deut1028.krn,29,8
deut1000.krn,54,16
deut1014.krn,37,12
deut0685.krn,57,14
deut0849.krn,54,12
deut0691.krn,59,12
deut0861.krn,52,12
deut0875.krn,20,4
deut0646.krn,31,8
deut1558.krn,57,12
deut0652.krn,42,11
deut1202.krn,22,8
deut1564.krn,43,9
deut1570.krn,32,12
deut1216.krn,33,11
deut1548.krn,46,12
deut0656.krn,35,8
deut0642.krn,41,8
deut1212.krn,35,9
deut1574.krn,38,16
deut1560.krn,82,22
deut1206.krn,74,24
deut0695.krn,55,12
deut0681.krn,34,8
deut0859.krn,36,8
deut0871.krn,26,9
deut0865.krn,27,8
deut1038.krn,37,8
deut1010.krn,51,12
deut1004.krn,73,16
deut1158.krn,36,8
deut1602.krn,50,16
deut1164.krn,69,20
deut1170.krn,30,6
deut1616.krn,33,8
deut0722.krn,30,8
deut0736.krn,65,10
deut1428.krn,34,8
deut1366.krn,63,14
deut1400.krn,43,8
deut1414.krn,47,12
deut1372.krn,40,12
deut1399.krn,58,12
deut0939.krn,41,18
deut0905.krn,33,8
deut0911.krn,24,8
deut0910.krn,25,8
deut0904.krn,33,8
deut1398.krn,47,8
deut0938.krn,35,8
deut1415.krn,73,22
deut1373.krn,35,7
deut1367.krn,68,18
deut1401.krn,84,16
deut1429.krn,43,8
deut0737.krn,54,8
deut0723.krn,35,8
deut1171.krn,46,12
deut1617.krn,36,8
deut1603.krn,68,20
deut1165.krn,77,20
deut1159.krn,35,9
deut1005.krn,38,22
deut1011.krn,38,8
deut1039.krn,33,10
deut0864.krn,29,8
deut0870.krn,27,9
deut0858.krn,22,6
deut0680.krn,45,15
deut0694.krn,30,8
deut1561.krn,113,40
deut1207.krn,28,8
deut1213.krn,44,16
deut1575.krn,59,15
deut0643.krn,39,8
deut0657.krn,19,4
deut1549.krn,46,16
deut1239.krn,61,12
deut0899.krn,39,8
deut0641.krn,40,10
deut0655.krn,49,12
deut1205.krn,62,16
deut1563.krn,30,12
deut1577.krn,73,24
deut0669.krn,42,19
deut1211.krn,43,8
deut0682.krn,41,9
deut0696.krn,53,12
deut1588.krn,69,20
deut0866.krn,40,8
deut0872.krn,24,7
deut1007.krn,42,9
deut1013.krn,34,9
deut1629.krn,32,8
deut1615.krn,26,8
deut1173.krn,46,8
deut1167.krn,37,10
deut1601.krn,57,16
deut1198.krn,48,16
deut0735.krn,60,8
deut0721.krn,31,9
deut1359.krn,42,20
deut1371.krn,41,8
deut0709.krn,34,8
deut1417.krn,50,12
deut1403.krn,40,8
deut1365.krn,62,20
deut0912.krn,37,8
deut0906.krn,53,18
deut0907.krn,58,16
deut0913.krn,35,12
deut1402.krn,80,16
deut1364.krn,51,14
deut1370.krn,45,10
deut1416.krn,51,12
deut0708.krn,66,12
deut0720.krn,36,9
deut1358.krn,39,8
deut0734.krn,80,12
deut1199.krn,53,16
deut1166.krn,74,20
deut1600.krn,82,24
deut1614.krn,24,8
deut1172.krn,43,16
deut1628.krn,34,11
deut1012.krn,43,10
deut1006.krn,60,16
deut0873.krn,25,6
deut0867.krn,33,6
deut1589.krn,43,16
deut0697.krn,46,12
deut0683.krn,41,12
deut0668.krn,31,8
deut1576.krn,56,16
deut1210.krn,40,8
deut1204.krn,30,8
deut1562.krn,40,16
deut0654.krn,33,8
